id,name,link,source_count,sources
accommodation_ChIJhSAnBo2rNTERgNMrOheIxKI,Azumaya Hotel Ha Noi,https://www.google.com/maps/place/Azumaya+Hotel+Ha+Noi/data=!4m10!3m9!1s0x3135ab8d06272085:0xa2c488173a2bd380!5m2!4m1!1i2!8m2!3d21.0182484!4d105.8499166!16s%2Fg%2F1tk6xzdc!19sChIJhSAnBo2rNTERgNMrOheIxKI?authuser=0&hl=en&rclk=1,6,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫792,288""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b8089cb0-34b4-458c-8749-9bc4614baba4.png"", ""name"": ""Trip.com"", ""price"": ""₫927,712""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/306127930749010778.png"", ""name"": ""Hotels.com"", ""price"": ""₫1,046,240""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_220.png"", ""name"": ""Priceline"", ""price"": ""₫1,024,096""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/5f7a447c-9c10-4320-a7ac-aea7cf688fb0.png"", ""name"": ""hutchgo (Hutchison Travel Limited)"", ""price"": ""₫968,896""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_660369587.png"", ""name"": ""Qantas Hotels"", ""price"": ""₫1,026,848""}]"
accommodation_ChIJE_g4jmyrNTERr2pZ31GSMos,Azumaya Hotel Kim Ma 3,https://www.google.com/maps/place/Azumaya+Hotel+Kim+Ma+3/data=!4m10!3m9!1s0x3135ab6c8e38f813:0x8b329251df596aaf!5m2!4m1!1i2!8m2!3d21.0269618!4d105.8100923!16s%2Fg%2F11j0rgzddd!19sChIJE_g4jmyrNTERr2pZ31GSMos?authuser=0&hl=en&rclk=1,8,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫719,296""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_184.png"", ""name"": ""Booking.com"", ""price"": ""₫985,760""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫719,296""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b8089cb0-34b4-458c-8749-9bc4614baba4.png"", ""name"": ""Trip.com"", ""price"": ""₫877,472""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/cc46874d-c374-4a99-83c7-b6f79d0b19d3.png"", ""name"": ""Traveloka.com"", ""price"": ""₫781,545""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/1553182719727098122.png"", ""name"": ""EaseMyTrip.com"", ""price"": ""₫874,120""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_660369587.png"", ""name"": ""Qantas Hotels"", ""price"": ""₫861,482""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_184.png"", ""name"": ""Booking.com"", ""price"": ""₫985,760""}]"
accommodation_ChIJ26wYlxSrNTERg5HhatjjfLc,Azumaya Hotel Linh Lang,https://www.google.com/maps/place/Azumaya+Hotel+Linh+Lang/data=!4m10!3m9!1s0x3135ab149718acdb:0xb77ce3d86ae19183!5m2!4m1!1i2!8m2!3d21.0362917!4d105.8104885!16s%2Fg%2F11hczyt3tw!19sChIJ26wYlxSrNTERg5HhatjjfLc?authuser=0&hl=en&rclk=1,6,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫920,352""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/cc46874d-c374-4a99-83c7-b6f79d0b19d3.png"", ""name"": ""Traveloka.com"", ""price"": ""₫925,926""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/c770e909-af04-45dd-8ad7-335bc5055826.png"", ""name"": ""Bluepillow.com"", ""price"": ""₫932,307""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_220.png"", ""name"": ""Priceline"", ""price"": ""₫977,536""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/40113501-a8d1-41cf-942b-a2452edeb94f.png"", ""name"": ""Mytour"", ""price"": ""₫1,073,792""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b8089cb0-34b4-458c-8749-9bc4614baba4.png"", ""name"": ""Trip.com"", ""price"": ""₫1,088,768""}]"
accommodation_ChIJXbSySvCrNTERzWyx8VAwbB0,Ba Dinh Le rêveur Homestay,https://www.google.com/maps/place/Ba+Dinh+Le+r%C3%AAveur+Homestay/data=!4m10!3m9!1s0x3135abf04ab2b45d:0x1d6c3050f1b16ccd!5m2!4m1!1i2!8m2!3d21.037577!4d105.8309553!16s%2Fg%2F11txqwbx73!19sChIJXbSySvCrNTERzWyx8VAwbB0?authuser=0&hl=en&rclk=1,4,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫170,128""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/c770e909-af04-45dd-8ad7-335bc5055826.png"", ""name"": ""Bluepillow.com"", ""price"": ""₫170,067""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b8089cb0-34b4-458c-8749-9bc4614baba4.png"", ""name"": ""Trip.com"", ""price"": ""₫208,328""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/1553182719727098122.png"", ""name"": ""EaseMyTrip.com"", ""price"": ""₫224,035""}]"
accommodation_ChIJh8yZYEarNTERoVhozmweQ7s,Bao Son International Hotel,https://www.google.com/maps/place/Bao+Son+International+Hotel/data=!4m10!3m9!1s0x3135ab68c6fe66c9:0xbb431e6cce6858a1!5m2!4m1!1i2!8m2!3d21.024484!4d105.810482!16s%2Fg%2F1tf6jpcg!19sChIJyWb-xmirNTERoVhozmweQ7s?authuser=0&hl=en&rclk=1,6,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫1,283,776""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/c770e909-af04-45dd-8ad7-335bc5055826.png"", ""name"": ""Bluepillow.com"", ""price"": ""₫1,300,500""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b8089cb0-34b4-458c-8749-9bc4614baba4.png"", ""name"": ""Trip.com"", ""price"": ""₫1,444,416""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/cc46874d-c374-4a99-83c7-b6f79d0b19d3.png"", ""name"": ""Traveloka.com"", ""price"": ""₫1,392,611""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/40113501-a8d1-41cf-942b-a2452edeb94f.png"", ""name"": ""Mytour"", ""price"": ""₫1,465,472""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_220.png"", ""name"": ""Priceline"", ""price"": ""₫1,443,072""}]"
accommodation_ChIJOzlMeTJhNDERSW8O46sFt0U,Ba Vì Daisy Queen,https://www.google.com/maps/place/Ba+V%C3%AC+Daisy+Queen/data=!4m10!3m9!1s0x31346132794c393b:0x45b705abe30e6f49!5m2!4m1!1i2!8m2!3d21.1000888!4d105.3892235!16s%2Fg%2F11fs2kljjj!19sChIJOzlMeTJhNDERSW8O46sFt0U?authuser=0&hl=en&rclk=1,4,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_184.png"", ""name"": ""Booking.com"", ""price"": ""₫1,829,952""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫1,829,952""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b8089cb0-34b4-458c-8749-9bc4614baba4.png"", ""name"": ""Trip.com"", ""price"": ""₫5,099,776""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/306127930749010778.png"", ""name"": ""Hotels.com"", ""price"": ""₫5,099,776""}]"
accommodation_ChIJ90e3qORhNDERe-3xC64eTmI,Bavi Myan Maison,https://www.google.com/maps/place/Bavi+Myan+Maison/data=!4m10!3m9!1s0x313461e4a8b747f7:0x624e1eae0bf1ed7b!5m2!4m1!1i2!8m2!3d21.1098706!4d105.3818323!16s%2Fg%2F11p0zf0x44!19sChIJ90e3qORhNDERe-3xC64eTmI?authuser=0&hl=en&rclk=1,3,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_184.png"", ""name"": ""Booking.com"", ""price"": ""₫972,000""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫972,000""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/c770e909-af04-45dd-8ad7-335bc5055826.png"", ""name"": ""Bluepillow.com"", ""price"": ""₫972,176""}]"
accommodation_ChIJZR11K6asNTERSAjm4wJtEwI,Blue Hanoi Inn City Hotel,https://www.google.com/maps/place/Blue+Hanoi+Inn+City+Hotel/data=!4m10!3m9!1s0x3135aca62b751d65:0x2136d02e3e60848!5m2!4m1!1i2!8m2!3d21.010817!4d105.7953294!16s%2Fg%2F11f_d7y9_9!19sChIJZR11K6asNTERSAjm4wJtEwI?authuser=0&hl=en&rclk=1,6,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫519,904""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_default.png"", ""name"": ""Blue Hanoi Inn City Hotel"", ""price"": ""₫1,254,836""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b8089cb0-34b4-458c-8749-9bc4614baba4.png"", ""name"": ""Trip.com"", ""price"": ""₫553,760""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/1264b392-0c69-44ec-8922-271868c67545.png"", ""name"": ""Skyscanner"", ""price"": ""₫532,768""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/c770e909-af04-45dd-8ad7-335bc5055826.png"", ""name"": ""Bluepillow.com"", ""price"": ""₫532,714""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/5752806419581288089.png"", ""name"": ""HOPEGOO"", ""price"": ""₫538,502""}]"
accommodation_ChIJ4-_xhuWrNTER1GAIL3ch3wE,Blue Home Homestay,https://www.google.com/maps/place/Blue+Home+Homestay/data=!4m10!3m9!1s0x3135abe586f1efe3:0x1df21772f0860d4!5m2!4m1!1i2!8m2!3d21.0361696!4d105.7993267!16s%2Fg%2F11svp9_1ty!19sChIJ4-_xhuWrNTER1GAIL3ch3wE?authuser=0&hl=en&rclk=1,6,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/cc46874d-c374-4a99-83c7-b6f79d0b19d3.png"", ""name"": ""Traveloka.com"", ""price"": ""₫377,465""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫434,320""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b8089cb0-34b4-458c-8749-9bc4614baba4.png"", ""name"": ""Trip.com"", ""price"": ""₫416,000""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_184.png"", ""name"": ""Booking.com"", ""price"": ""₫583,200""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/1553182719727098122.png"", ""name"": ""EaseMyTrip.com"", ""price"": ""₫430,455""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/306127930749010778.png"", ""name"": ""Hotels.com"", ""price"": ""₫504,000""}]"
travel_place_ChIJrzWfkXarNTERsweyNwIQG_M,Calidas Landmark72 Royal Residence Hanoi,https://www.google.com/maps/place/Calidas+Landmark72+Royal+Residence+Hanoi/data=!4m10!3m9!1s0x3135ab76919f35af:0xf31b100237b207b3!5m2!4m1!1i2!8m2!3d21.0168359!4d105.7842974!16s%2Fg%2F11p9h32vzt!19sChIJrzWfkXarNTERsweyNwIQG_M?authuser=0&hl=en&rclk=1,6,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫2,384,256""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b8089cb0-34b4-458c-8749-9bc4614baba4.png"", ""name"": ""Trip.com"", ""price"": ""₫2,627,072""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/c770e909-af04-45dd-8ad7-335bc5055826.png"", ""name"": ""Bluepillow.com"", ""price"": ""₫2,443,262""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/cc46874d-c374-4a99-83c7-b6f79d0b19d3.png"", ""name"": ""Traveloka.com"", ""price"": ""₫2,608,949""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/1553182719727098122.png"", ""name"": ""EaseMyTrip.com"", ""price"": ""₫2,699,699""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/40113501-a8d1-41cf-942b-a2452edeb94f.png"", ""name"": ""Mytour"", ""price"": ""₫2,903,552""}]"
accommodation_ChIJeysLiz2rNTER3KKgUoOxxUQ,Capella Hanoi,https://www.google.com/maps/place/Capella+Hanoi/data=!4m10!3m9!1s0x3135ab3d8b0b2b7b:0x44c5b18352a0a2dc!5m2!4m1!1i2!8m2!3d21.0257164!4d105.8566886!16s%2Fg%2F11qn6mmpw4!19sChIJeysLiz2rNTER3KKgUoOxxUQ?authuser=0&hl=en&rclk=1,6,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/cc46874d-c374-4a99-83c7-b6f79d0b19d3.png"", ""name"": ""Traveloka.com"", ""price"": ""₫10,769,688""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫11,829,760""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_184.png"", ""name"": ""Booking.com"", ""price"": ""₫11,829,760""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b8089cb0-34b4-458c-8749-9bc4614baba4.png"", ""name"": ""Trip.com"", ""price"": ""₫11,829,760""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/306127930749010778.png"", ""name"": ""Hotels.com"", ""price"": ""₫11,829,760""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/1553182719727098122.png"", ""name"": ""EaseMyTrip.com"", ""price"": ""₫11,769,247""}]"
accommodation_ChIJr8MTS0irNTERIuXo4jYS4dc,Capital Cau Giay Hotel,https://www.google.com/maps/place/Capital+Cau+Giay+Hotel/data=!4m10!3m9!1s0x3135ab484b13c3af:0xd7e11236e2e8e522!5m2!4m1!1i2!8m2!3d21.0341006!4d105.7909899!16s%2Fg%2F11l668b9qj!19sChIJr8MTS0irNTERIuXo4jYS4dc?authuser=0&hl=en&rclk=1,5,"[{""icon"": ""https://www.gstatic.com/travel-hotels/branding/b13642de-d476-41bd-8254-3edc2e567aa6.png"", ""name"": ""Agoda"", ""price"": ""₫322,688""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/b8089cb0-34b4-458c-8749-9bc4614baba4.png"", ""name"": ""Trip.com"", ""price"": ""₫418,080""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/icon_220.png"", ""name"": ""Priceline"", ""price"": ""₫393,552""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/cc46874d-c374-4a99-83c7-b6f79d0b19d3.png"", ""name"": ""Traveloka.com"", ""price"": ""₫451,493""}, {""icon"": ""https://www.gstatic.com/travel-hotels/branding/c770e909-af04-45dd-8ad7-335bc5055826.png"", ""name"": ""Bluepillow.com"", ""price"": ""₫551,855""}]"
