id,name,type,source_url
drink_dessert_ChIJlxxeEgCrNTERrMfXTByUZWo,8am Coffee & Roastery,DrinkDessert,https://www.google.com/maps/place/8am+Coffee+%26+Roastery/data=!4m7!3m6!1s0x3135ab00125e1c97:0x6a65941c4cd7c7ac!8m2!3d21.0165727!4d105.8583472!16s%2Fg%2F11lcjwnzd8!19sChIJlxxeEgCrNTERrMfXTByUZWo?authuser=0&hl=en&rclk=1
drink_dessert_ChIJM99bjBKrNTERgyymVnRAKwU,8 Cafe,DrinkDessert,https://www.google.com/maps/place/8+Cafe/data=!4m7!3m6!1s0x3135ab128c5bdf33:0x52b407456a62c83!8m2!3d21.0205118!4d105.8574643!16s%2Fg%2F11trt_hdkq!19sChIJM99bjBKrNTERgyymVnRAKwU?authuser=0&hl=en&rclk=1
drink_dessert_ChIJo5HJMUKrNTERwhvpFFcX85A,8 COFFEE by TOKA,DrinkDessert,https://www.google.com/maps/place/8+COFFEE+by+TOKA/data=!4m7!3m6!1s0x3135ab4231c991a3:0x90f3175714e91bc2!8m2!3d21.0235836!4d105.8465079!16s%2Fg%2F11sc93zxfx!19sChIJo5HJMUKrNTERwhvpFFcX85A?authuser=0&hl=en&rclk=1
drink_dessert_ChIJa_yFE25VNDERWOa3HGmnGVc,8 Coffee shop,DrinkDessert,https://www.google.com/maps/place/8+Coffee+shop/data=!4m7!3m6!1s0x3134556e1385fc6b:0x5719a7691cb7e658!8m2!3d21.0480663!4d105.76379!16s%2Fg%2F11gjj2p86w!19sChIJa_yFE25VNDERWOa3HGmnGVc?authuser=0&hl=en&rclk=1
drink_dessert_ChIJlT3VOwCrNTERS7Hn5VdxedY,8Hours - Đặng Thái Thân,DrinkDessert,https://www.google.com/maps/place/8Hours+-+%C4%90%E1%BA%B7ng+Th%C3%A1i+Th%C3%A2n/data=!4m7!3m6!1s0x3135ab003bd53d95:0xd6797157e5e7b14b!8m2!3d21.0232342!4d105.8590889!16s%2Fg%2F11vm5tl_h8!19sChIJlT3VOwCrNTERS7Hn5VdxedY?authuser=0&hl=en&rclk=1
drink_dessert_ChIJ-dUirP6tNTERKjpFGfaoUGU,9.0cafe,DrinkDessert,https://www.google.com/maps/place/9.0cafe/data=!4m7!3m6!1s0x3135adfeac22d5f9:0x6550a8f619453a2a!8m2!3d21.0147224!4d105.8047371!16s%2Fg%2F11mrd7fc6n!19sChIJ-dUirP6tNTERKjpFGfaoUGU?authuser=0&hl=en&rclk=1
drink_dessert_ChIJg-hhSIitNTERhjwqNcdji4k,9.0cafe,DrinkDessert,https://www.google.com/maps/place/9.0cafe/data=!4m7!3m6!1s0x3135ad884861e883:0x898b63c7352a3c86!8m2!3d21.0004145!4d105.8455432!16s%2Fg%2F11npjtrzzv!19sChIJg-hhSIitNTERhjwqNcdji4k?authuser=0&hl=en&rclk=1
drink_dessert_ChIJPVAp4tlSNDERm3Qv_5FG2Aw,9902 COFFEE,DrinkDessert,https://www.google.com/maps/place/9902+COFFEE/data=!4m7!3m6!1s0x313452d9e229503d:0xcd84691ff2f749b!8m2!3d20.9641125!4d105.7700739!16s%2Fg%2F11d_b9z4_q!19sChIJPVAp4tlSNDERm3Qv_5FG2Aw?authuser=0&hl=en&rclk=1
drink_dessert_ChIJOV_KIQCrNTER7KNnz0Ekqms,9981 Coffee - Wine Tapas | Cafe nhà thờ lớn Hà Nội,DrinkDessert,https://www.google.com/maps/place/9981+Coffee+-+Wine+Tapas+%7C+Cafe+nh%C3%A0+th%E1%BB%9D+l%E1%BB%9Bn+H%C3%A0+N%E1%BB%99i/data=!4m7!3m6!1s0x3135ab0021ca5f39:0x6baa2441cf67a3ec!8m2!3d21.0286965!4d105.8494789!16s%2Fg%2F11lty0bbqc!19sChIJOV_KIQCrNTER7KNnz0Ekqms?authuser=0&hl=en&rclk=1
drink_dessert_ChIJgT7eM3urNTERvTSk7rvedHU,9AM COFFEE,DrinkDessert,https://www.google.com/maps/place/9AM+COFFEE/data=!4m7!3m6!1s0x3135ab7b33de3e81:0x7574debbeea434bd!8m2!3d21.0166067!4d105.8105808!16s%2Fg%2F11x26wh57n!19sChIJgT7eM3urNTERvTSk7rvedHU?authuser=0&hl=en&rclk=1
drink_dessert_ChIJH95M5gurNTERH4dA6zqmfd8,9luv Cocktail and Gin bar,DrinkDessert,https://www.google.com/maps/place/9luv+Cocktail+and+Gin+bar/data=!4m7!3m6!1s0x3135ab0be64cde1f:0xdf7da63aeb40871f!8m2!3d21.0304888!4d105.8452998!16s%2Fg%2F11q4br5kkp!19sChIJH95M5gurNTERH4dA6zqmfd8?authuser=0&hl=en&rclk=1
drink_dessert_ChIJnxcSSQCrNTERTbJbaq5yd_w,9Room Cafe,DrinkDessert,https://www.google.com/maps/place/9Room+Cafe/data=!4m7!3m6!1s0x3135ab004912179f:0xfc7772ae6a5bb24d!8m2!3d21.036079!4d105.814356!16s%2Fg%2F11whq24xbg!19sChIJnxcSSQCrNTERTbJbaq5yd_w?authuser=0&hl=en&rclk=1
drink_dessert_ChIJR44W17CrNTER-A5TKxCngYo,9room Cafe & Decor,DrinkDessert,https://www.google.com/maps/place/9room+Cafe+%26+Decor/data=!4m7!3m6!1s0x3135abb0d7168e47:0x8a81a7102b530ef8!8m2!3d21.0248381!4d105.8057773!16s%2Fg%2F11tdhshxnd!19sChIJR44W17CrNTER-A5TKxCngYo?authuser=0&hl=en&rclk=1
drink_dessert_ChIJIS-82G2pNTERkJxfN0XYBNM,A19 COFFEE,DrinkDessert,https://www.google.com/maps/place/A19+COFFEE/data=!4m7!3m6!1s0x3135a96dd8bc2f21:0xd304d845375f9c90!8m2!3d21.0554635!4d105.9085434!16s%2Fg%2F11j7c21cp9!19sChIJIS-82G2pNTERkJxfN0XYBNM?authuser=0&hl=en&rclk=1
drink_dessert_ChIJXegvynmtNTERH-eroDdV0bg,ABABA coffee,DrinkDessert,https://www.google.com/maps/place/ABABA+coffee/data=!4m7!3m6!1s0x3135ad79ca2fe85d:0xb8d15537a0abe71f!8m2!3d20.9780981!4d105.7963635!16s%2Fg%2F11hdnvm270!19sChIJXegvynmtNTERH-eroDdV0bg?authuser=0&hl=en&rclk=1
drink_dessert_ChIJHRKte3CrNTERfae7wM-JIqI,ABA Cafe,DrinkDessert,https://www.google.com/maps/place/ABA+Cafe/data=!4m7!3m6!1s0x3135ab707bad121d:0xa22289cfc0bba77d!8m2!3d21.043675!4d105.8730734!16s%2Fg%2F11f659q13y!19sChIJHRKte3CrNTERfae7wM-JIqI?authuser=0&hl=en&rclk=1
drink_dessert_ChIJm3qTki-rNTERmtbdMjAY2zQ,Abc Coffee Roasters,DrinkDessert,https://www.google.com/maps/place/Abc+Coffee+Roasters/data=!4m7!3m6!1s0x3135ab2f92937a9b:0x34db183032ddd69a!8m2!3d21.0424095!4d105.7957669!16s%2Fg%2F11gxrwc0l1!19sChIJm3qTki-rNTERmtbdMjAY2zQ?authuser=0&hl=en&rclk=1
drink_dessert_ChIJCbK8dOaqNTERXzeRObB_u1g,ABC COFFEE ROASTERS,DrinkDessert,https://www.google.com/maps/place/ABC+COFFEE+ROASTERS/data=!4m7!3m6!1s0x3135aae674bcb209:0x58bb7fb03991375f!8m2!3d21.0766416!4d105.8150674!16s%2Fg%2F11b7j48d7r!19sChIJCbK8dOaqNTERXzeRObB_u1g?authuser=0&hl=en&rclk=1
